City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
491,San Pedro,PH,14.35,121.0167,86.11,74,40,2.3,scattered clouds
492,Boguchany,RU,58.3814,97.4531,10.89,99,100,2.82,overcast clouds
493,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,6.91,clear sky
494,Turayf,SA,31.6725,38.6637,50.25,100,75,9.22,broken clouds
495,Stephenville,US,32.2207,-98.2023,57.33,46,1,11.5,clear sky
496,Nyaunglebin,MM,17.95,96.7333,70.07,80,33,4.21,scattered clouds
497,Ketou,BJ,7.3633,2.5998,76.06,93,33,3.15,scattered clouds
498,Morgan City,US,29.6994,-91.2068,69.01,86,87,3.98,overcast clouds
499,Kismayo,SO,-0.3582,42.5454,78.66,78,69,8.32,broken clouds
500,Kirovskiy,RU,45.0917,133.5136,41.0,83,100,11.41,light rain
501,Kitchener,CA,43.4254,-80.5112,42.1,96,90,14.0,overcast clouds
502,Yenagoa,NG,4.9247,6.2642,76.37,92,99,4.14,overcast clouds
503,Mislinja,SI,46.4411,15.1956,40.06,94,84,1.48,broken clouds
504,Houma,US,29.5958,-90.7195,69.8,94,1,0.0,clear sky
505,Los Andes,CL,-32.8337,-70.5983,71.58,46,0,0.92,clear sky
506,Itarema,BR,-2.9248,-39.9167,79.57,78,30,13.6,scattered clouds
507,Farrukhnagar,IN,17.0778,78.2011,71.31,96,98,4.52,overcast clouds
508,Bandikui,IN,27.05,76.5667,65.19,24,0,2.53,clear sky
509,Havelock,US,34.8791,-76.9013,61.95,92,1,0.0,clear sky
510,Gracac,HR,44.3006,15.8547,53.38,88,100,3.78,overcast clouds
511,Gerede,TR,40.8008,32.1969,33.28,70,7,6.6,clear sky
512,Lucapa,AO,-8.4192,20.7447,64.49,98,100,2.55,moderate rain
513,Ruy Barbosa,BR,-12.2839,-40.4939,75.06,67,97,2.95,overcast clouds
514,Borskoye,RU,53.0333,51.7167,31.39,92,100,13.29,overcast clouds
515,Kargil,IN,34.5667,76.1,11.98,58,0,2.59,clear sky
516,Najran,SA,17.4924,44.1277,63.25,40,74,1.39,broken clouds
517,Aguimes,ES,27.9054,-15.4461,64.65,77,0,5.75,clear sky
518,Lashio,MM,22.9333,97.75,62.26,85,10,0.65,clear sky
519,Moissala,TD,8.3404,17.7663,73.38,32,41,4.27,scattered clouds
520,Iskateley,RU,67.6803,53.1512,3.27,99,99,4.25,overcast clouds
521,Hauterive,FR,46.0901,3.4459,38.16,88,99,3.65,overcast clouds
522,Varhaug,NO,58.6147,5.6457,33.35,63,99,18.59,overcast clouds
523,Narva-Joesuu,EE,59.4589,28.0408,31.78,54,6,20.69,clear sky
524,Vagay,RU,57.9375,69.0217,22.42,94,100,8.34,light snow
525,Ampanihy,MG,-24.7,44.75,63.77,82,7,10.98,clear sky
526,Santa Marta,CO,11.2408,-74.199,84.25,70,40,5.75,scattered clouds
527,Hyeres,FR,43.1167,6.1167,52.68,95,0,5.75,clear sky
528,Krasnoshchekovo,RU,51.6708,82.7289,34.97,43,100,21.09,overcast clouds
529,Tefe,BR,-3.3542,-64.7114,73.69,97,100,2.48,overcast clouds
530,Guayaramerin,BO,-10.8368,-65.3614,76.1,90,93,0.56,overcast clouds
531,Labrea,BR,-7.2586,-64.7981,76.01,83,99,1.48,overcast clouds
532,Togur,RU,58.3631,82.8265,14.67,94,83,9.08,broken clouds
533,Killybegs,IE,54.6333,-8.45,44.46,71,52,6.85,broken clouds
534,Horn,DE,51.8715,8.9451,40.33,94,86,4.76,overcast clouds
535,Lampang,TH,18.3333,99.5,77.86,69,20,0.0,few clouds
536,Jiayuguan,CN,39.8167,98.3,24.62,39,0,1.3,clear sky
537,Saint-Gabriel,CA,46.3001,-73.3824,35.83,99,100,7.54,overcast clouds
538,Kastamonu,TR,41.5,33.6667,36.59,83,11,0.72,few clouds
539,Vila Velha,BR,-20.3297,-40.2925,66.15,94,75,8.05,broken clouds
540,Karia,NG,11.7306,11.1629,74.82,22,100,7.09,overcast clouds
541,Kalmunai,LK,7.4167,81.8167,75.31,85,100,4.65,overcast clouds
542,Ilabaya,PE,-17.4208,-70.5133,66.9,59,100,2.1,overcast clouds
543,Washington,US,47.5001,-120.5015,37.94,83,100,1.21,overcast clouds
544,Panormos,GR,35.4182,24.6909,56.12,73,9,3.83,clear sky
545,Aquiraz,BR,-3.9014,-38.3911,81.18,82,13,8.5,few clouds
546,Trincomalee,LK,8.5711,81.2335,75.97,84,95,10.78,overcast clouds
547,Dalvik,IS,65.9702,-18.5286,44.53,78,99,12.75,overcast clouds
548,Constantine,DZ,36.365,6.6147,49.41,87,40,10.36,scattered clouds
549,Port Shepstone,ZA,-30.7414,30.455,68.22,90,100,15.59,overcast clouds
550,Almargem Do Bispo,PT,38.8491,-9.2668,54.55,85,20,9.22,few clouds
551,Harper,LR,4.375,-7.7169,78.64,85,83,7.52,broken clouds
552,Ventspils,LV,57.3894,21.5606,30.13,74,0,4.61,clear sky
553,Sandwick,GB,60.0,-1.25,46.22,81,90,20.71,overcast clouds
554,Bandundu,CD,-3.3167,17.3667,69.78,98,100,0.74,overcast clouds
555,Kathor,IN,21.3,72.9333,78.6,66,98,4.27,overcast clouds
556,Kindu,CD,-2.95,25.95,69.08,100,100,5.1,moderate rain
557,Belomorsk,RU,64.5232,34.7668,23.79,82,56,14.16,broken clouds
558,Brokopondo,SR,4.75,-55.1667,77.74,88,25,8.86,scattered clouds
559,Vestmannaeyjar,IS,63.4427,-20.2734,44.78,84,100,20.8,overcast clouds
560,Peniche,PT,39.3558,-9.3811,57.61,84,6,6.67,clear sky
561,Altay,CN,47.8667,88.1167,17.8,51,82,7.94,broken clouds
562,Lake City,US,30.1897,-82.6393,66.51,82,75,3.44,broken clouds
563,Corner Brook,CA,48.9667,-57.9484,39.33,88,100,4.32,overcast clouds
564,Tocopilla,CL,-22.092,-70.1979,65.84,68,84,3.96,broken clouds
565,Penzance,GB,50.1186,-5.5371,46.76,66,4,23.06,clear sky
566,Bani Walid,LY,31.7566,13.9942,60.71,56,100,8.43,overcast clouds
567,Biltine,TD,14.5333,20.9167,74.25,22,95,16.87,overcast clouds
568,Tarn Taran,IN,31.45,74.9253,51.69,32,0,4.81,clear sky
569,Akureyri,IS,65.6835,-18.0878,44.53,57,75,13.8,broken clouds
570,Reconquista,AR,-29.15,-59.65,71.47,51,0,6.53,clear sky
571,Betsiamites,CA,48.9413,-68.646,37.49,81,100,7.05,overcast clouds
572,Grand-Lahou,CI,5.1367,-5.0242,79.3,86,99,4.54,light rain
573,Witu,KE,-2.3889,40.4382,80.76,87,41,4.34,scattered clouds
574,Sharjah,AE,25.3573,55.4033,78.26,58,0,2.3,clear sky
575,Upington,ZA,-28.4478,21.2561,64.78,48,0,9.22,clear sky
576,Daoukro,CI,7.0591,-3.9631,72.81,93,8,2.59,clear sky
577,Shelburne,CA,44.0787,-80.2041,39.09,98,100,17.54,overcast clouds
578,Hot Springs,US,34.5037,-93.0552,61.11,78,75,8.01,broken clouds
579,Walvis Bay,NA,-22.9575,14.5053,60.1,94,0,5.75,clear sky
580,Oudtshoorn,ZA,-33.5907,22.2014,62.96,88,88,5.53,overcast clouds
581,Kajaani,FI,64.2273,27.7285,15.85,86,0,4.61,clear sky
582,Vallenar,CL,-28.5708,-70.7581,70.74,40,7,2.17,clear sky
