City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Sindor,RU,2021-11-21 01:04:22,62.8629,51.8905,24.71,96,100,6.04
211,Laguna,US,2021-11-21 01:04:23,38.421,-121.4238,63.01,63,1,0.0
212,Choya,RU,2021-11-21 01:04:23,52.0108,86.5467,9.86,91,78,4.05
213,Cap Malheureux,MU,2021-11-21 01:01:07,-19.9842,57.6142,76.46,69,0,3.0
214,Lodwar,KE,2021-11-21 01:02:18,3.1191,35.5973,82.83,42,13,6.13
215,Labuhan,ID,2021-11-21 01:04:23,-6.8844,112.2051,83.08,72,56,2.57
216,Formosa,AR,2021-11-21 01:04:23,-26.1775,-58.1781,67.95,59,70,4.74
217,Grand Gaube,MU,2021-11-21 01:04:24,-20.0064,57.6608,76.37,69,0,5.01
218,San Cristobal,VE,2021-11-21 01:04:24,7.7669,-72.225,71.78,88,77,1.79
219,Taoudenni,ML,2021-11-21 01:04:24,22.6783,-3.9836,76.86,30,100,9.6
220,Margate,GB,2021-11-21 01:04:25,51.3813,1.3862,49.3,85,100,1.99
221,Sinnamary,GF,2021-11-21 01:01:14,5.3833,-52.95,78.87,85,100,8.21
222,Moose Factory,CA,2021-11-21 01:04:25,51.2585,-80.6094,33.78,100,90,11.5
223,Olinda,BR,2021-11-21 01:02:30,-8.0089,-34.8553,82.13,69,40,5.75
224,Puerto Ayora,EC,2021-11-21 01:04:25,-0.7393,-90.3518,69.22,81,44,9.51
225,Tiznit,MA,2021-11-21 01:04:25,29.5833,-9.5,59.29,65,9,2.42
226,Champerico,GT,2021-11-21 01:04:26,14.3,-91.9167,82.29,76,57,5.26
227,Hlukhiv,UA,2021-11-21 01:04:26,51.6782,33.9162,35.78,87,93,13.56
228,Alta Floresta,BR,2021-11-21 01:04:26,-9.8756,-56.0861,72.46,95,39,2.06
229,Buraydah,SA,2021-11-21 01:04:26,26.326,43.975,57.67,43,1,3.53
230,Chabahar,IR,2021-11-21 01:04:27,25.2919,60.643,71.83,43,4,4.52
231,Celendin,PE,2021-11-21 01:05:27,-6.8703,-78.1517,56.17,70,98,2.73
232,Canandaigua,US,2021-11-21 01:03:34,42.8742,-77.288,42.89,67,100,4.0
233,Ayame,CI,2021-11-21 01:05:28,5.6083,-3.1563,75.58,97,25,3.29
234,Halifax,CA,2021-11-21 01:02:46,44.6453,-63.5724,29.68,88,0,3.51
235,Malanje,AO,2021-11-21 01:05:28,-9.5402,16.341,63.68,99,100,2.42
236,Vardo,NO,2021-11-21 01:05:28,70.3705,31.1107,30.9,69,100,35.57
237,Beyneu,KZ,2021-11-21 01:05:28,45.3167,55.2,34.88,72,7,11.16
238,Chicla,PE,2021-11-21 01:05:29,-11.705,-76.2686,43.0,87,100,3.49
239,Marsa Matruh,EG,2021-11-21 01:05:29,31.3525,27.2453,64.29,61,99,17.25
240,Vestmannaeyjar,IS,2021-11-21 01:05:29,63.4427,-20.2734,32.95,74,100,11.25
241,Palora,EC,2021-11-21 01:05:29,-1.7,-77.9333,65.17,98,93,2.48
242,Mapastepec,MX,2021-11-21 01:05:30,15.4333,-92.9,77.95,81,18,3.06
